epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,2081.1,0.06315,0.00047,0.00233,0.12378,0.5725,0.9994,1,0.995,0.8365,0.9994,1,0.995,0.995,0.07342,0.00038,0.00077,0.13651,0.5556,0.0015545,0.0015545,0.0015545
29,2154.74,0.06558,0.00056,0.01627,0.1217,0.58281,0.99928,1,0.995,0.84559,0.99928,1,0.995,0.995,0.0744,0.00042,0.00083,0.14098,0.55673,0.001538,0.001538,0.001538
30,2228.44,0.06537,0.00063,0.00157,0.12299,0.58003,0.99968,1,0.995,0.85318,0.99968,1,0.995,0.995,0.06659,0.00065,0.00065,0.12778,0.53927,0.0015215,0.0015215,0.0015215
31,2302.09,0.06835,0.00083,0.03631,0.1229,0.57751,0.99939,1,0.995,0.86297,0.99939,1,0.995,0.995,0.07042,0.00081,0.00395,0.13368,0.54444,0.001505,0.001505,0.001505
32,2375.77,0.06439,0.00071,0.02131,0.12334,0.57477,0.99937,1,0.995,0.89512,0.99937,1,0.995,0.995,0.05846,0.00095,0.00045,0.11872,0.52747,0.0014885,0.0014885,0.0014885
33,2449.4,0.06642,0.00059,0.03188,0.12209,0.58121,0.99939,1,0.995,0.88082,0.99939,1,0.995,0.995,0.05822,0.00066,0.00276,0.11297,0.52379,0.001472,0.001472,0.001472
34,2523.04,0.06352,0.00052,0.01258,0.11569,0.57672,0.99937,1,0.995,0.89262,0.99937,1,0.995,0.995,0.05748,0.00063,0.00192,0.11383,0.52404,0.0014555,0.0014555,0.0014555
35,2596.81,0.06138,0.00061,0.0119,0.12605,0.56363,0.99899,1,0.995,0.90157,0.99899,1,0.995,0.995,0.05346,0.00057,0.00055,0.10949,0.52537,0.001439,0.001439,0.001439
36,2670.67,0.06204,0.00061,0.01491,0.11506,0.57754,0.99964,1,0.995,0.89867,0.99964,1,0.995,0.995,0.05543,0.00099,0.0002,0.11808,0.52179,0.0014225,0.0014225,0.0014225
37,2744.56,0.06199,0.00067,0.01853,0.115,0.57319,1,0.9995,0.995,0.90746,1,0.9995,0.995,0.995,0.05184,0.00101,0.00059,0.11278,0.51755,0.001406,0.001406,0.001406
38,2818.14,0.06288,0.00062,0.01121,0.11398,0.57218,0.999,1,0.995,0.86308,0.999,1,0.995,0.995,0.06627,0.00073,0.00038,0.12283,0.54122,0.0013895,0.0013895,0.0013895
39,2891.87,0.06199,0.00056,0.00513,0.11372,0.57538,0.99961,1,0.995,0.85611,0.99961,1,0.995,0.995,0.0618,0.00058,0.00021,0.11667,0.53278,0.001373,0.001373,0.001373
40,2965.49,0.06152,0.00054,0.00709,0.11144,0.56774,0.99269,0.99907,0.995,0.88022,0.99269,0.99907,0.995,0.995,0.06102,0.00037,0.0003,0.11657,0.53019,0.0013565,0.0013565,0.0013565
41,3039.5,0.05966,0.00064,0.00294,0.11133,0.56105,0.99928,1,0.995,0.9053,0.99928,1,0.995,0.995,0.05187,0.00082,0.00029,0.10291,0.51629,0.00134,0.00134,0.00134
42,3113.37,0.05729,0.00057,0.02204,0.10547,0.5606,0.99963,1,0.995,0.90707,0.99963,1,0.995,0.995,0.05054,0.0004,0.0002,0.09984,0.51517,0.0013235,0.0013235,0.0013235
43,3187.34,0.05969,0.00047,0.00446,0.11003,0.56298,0.99973,1,0.995,0.8963,0.99973,1,0.995,0.995,0.05537,0.00056,0.00016,0.11036,0.52374,0.001307,0.001307,0.001307
44,3261.31,0.06025,0.00055,0.00537,0.10822,0.5657,0.99948,1,0.995,0.90625,0.99948,1,0.995,0.995,0.0505,0.00064,0.00012,0.1031,0.51625,0.0012905,0.0012905,0.0012905
45,3335.25,0.05991,0.00065,0.02618,0.10792,0.56362,1,0.99905,0.995,0.89884,1,0.99905,0.995,0.995,0.05194,0.00107,0.00091,0.10197,0.51957,0.001274,0.001274,0.001274
46,3409.1,0.05961,0.00069,0.01689,0.10877,0.56336,0.99941,0.99265,0.995,0.90332,0.99941,0.99265,0.995,0.995,0.05311,0.00066,0.00014,0.1086,0.51914,0.0012575,0.0012575,0.0012575
47,3483.03,0.05581,0.00046,0.00773,0.10594,0.55955,1,0.99972,0.995,0.91734,1,0.99972,0.995,0.995,0.05065,0.00037,0.00016,0.10518,0.51709,0.001241,0.001241,0.001241
48,3557.36,0.06008,0.00039,0.01883,0.11201,0.5676,0.99927,1,0.995,0.90215,0.99927,1,0.995,0.995,0.0566,0.00034,0.00056,0.1083,0.52267,0.0012245,0.0012245,0.0012245
49,3631.38,0.05709,0.00055,0.03406,0.10867,0.56626,0.99198,1,0.995,0.90115,0.99198,1,0.995,0.995,0.05347,0.00038,0.00392,0.10852,0.52055,0.001208,0.001208,0.001208
